Date,Close,Open,High,Low,Change %,Daily Return (%),Volatility (7D),SMA (7D),SMA (30D),Forward Premia of US$ 1-month (%),Forward Premia of US$ 3-month (%),Forward Premia of US$ 6-month (%),Reverse Repo Rate (%),Marginal Standing Facility (MSF) Rate (%),Bank Rate (%),Base Rate (%),91-Day Treasury Bill (Primary) Yield (%),182-Day Treasury Bill (Primary) Yield (%),364-Day Treasury Bill (Primary) Yield (%),10-Year G-Sec Yield (FBIL) (%),Cash Reserve Ratio (%),Statutory Liquidity Ratio (%),Policy Repo Rate (%),"Foreign Exchange Reserves 
(US $ Million)"
28-03-2013,7.83,7.83,7.83,7.83,-0.0099,-0.009863429,0.030291442,7.872285714,7.838333333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
29-03-2013,7.83,7.83,7.83,7.83,0,0,0.03341585,7.869571429,7.838866667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
02-04-2013,7.834,7.834,7.834,7.834,0.0005,0.000510856,0.035681127,7.866857143,7.839533333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
03-04-2013,7.793,7.793,7.793,7.793,-0.0052,-0.005233597,0.043507525,7.853285714,7.839166667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
04-04-2013,7.786,7.786,7.786,7.786,-0.0009,-0.000898242,0.049324484,7.841285714,7.838333333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
05-04-2013,7.786,7.786,7.786,7.786,0,0,0.042966765,7.823857143,7.837233333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
08-04-2013,7.741,7.741,7.741,7.741,-0.0058,-0.005779604,0.033857545,7.8,7.834233333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
09-04-2013,7.741,7.741,7.741,7.741,0,0,0.037254594,7.787285714,7.831866667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
10-04-2013,7.704,7.704,7.704,7.704,-0.0048,-0.004779744,0.043149794,7.769285714,7.8291,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
11-04-2013,7.704,7.704,7.704,7.704,0,0,0.038365411,7.750714286,7.824466667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
12-04-2013,7.711,7.711,7.711,7.711,0.0009,0.000908619,0.035730473,7.739,7.818666667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
15-04-2013,7.654,7.654,7.654,7.654,-0.0074,-0.007392037,0.041204484,7.720142857,7.8117,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
16-04-2013,7.654,7.654,7.654,7.654,0,0,0.035905962,7.701285714,7.8045,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
17-04-2013,7.627,7.627,7.627,7.627,-0.0035,-0.003527567,0.040455737,7.685,7.797733333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
18-04-2013,7.608,7.608,7.608,7.608,-0.0025,-0.00249115,0.041,7.666,7.789966667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
19-04-2013,7.608,7.608,7.608,7.608,0,0,0.042208665,7.652285714,7.782266667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
22-04-2013,7.569,7.569,7.569,7.569,-0.0051,-0.005126183,0.045365185,7.633,7.7734,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
23-04-2013,7.542,7.542,7.542,7.542,-0.0036,-0.003567182,0.041762936,7.608857143,7.762633333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
24-04-2013,7.542,7.542,7.542,7.542,0,0,0.043021036,7.592857143,7.752233333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
25-04-2013,7.523,7.523,7.523,7.523,-0.0025,-0.002519226,0.040403913,7.574142857,7.742566667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
26-04-2013,7.511,7.511,7.511,7.511,-0.0016,-0.001595108,0.038870971,7.557571429,7.7332,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
29-04-2013,7.503,7.503,7.503,7.503,-0.0011,-0.001065105,0.036344909,7.542571429,7.723566667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
30-04-2013,7.46,7.46,7.46,7.46,-0.0057,-0.005731041,0.034961203,7.521428571,7.712233333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
01-05-2013,7.46,7.46,7.46,7.46,0,0,0.034512938,7.505857143,7.6999,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
02-05-2013,7.441,7.441,7.441,7.441,-0.0025,-0.002546917,0.037836742,7.491428571,7.6863,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
03-05-2013,7.452,7.452,7.452,7.452,0.0015,0.001478296,0.032735593,7.478571429,7.672933333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
06-05-2013,7.452,7.452,7.452,7.452,0,0,0.027208192,7.468428571,7.6584,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
07-05-2013,7.471,7.471,7.471,7.471,0.0025,0.002549651,0.020030928,7.462714286,7.6451,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
08-05-2013,7.451,7.451,7.451,7.451,-0.0027,-0.002677018,0.009446592,7.455285714,7.629866667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
09-05-2013,7.382,7.382,7.382,7.382,-0.0093,-0.009260502,0.028910371,7.444142857,7.612333333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
10-05-2013,7.4,7.4,7.4,7.4,0.0024,0.002438364,0.032139577,7.435571429,7.598,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
13-05-2013,7.415,7.415,7.415,7.415,0.002,0.002027027,0.032901006,7.431857143,7.584166667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
14-05-2013,7.334,7.334,7.334,7.334,-0.0109,-0.010923803,0.047742364,7.415,7.5675,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
15-05-2013,7.276,7.276,7.276,7.276,-0.0079,-0.007908372,0.067333569,7.389857143,7.550266667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
16-05-2013,7.291,7.291,7.291,7.291,0.0021,0.002061572,0.065527166,7.364142857,7.533766667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
17-05-2013,7.274,7.274,7.274,7.274,-0.0023,-0.002331642,0.060372258,7.338857143,7.5167,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
20-05-2013,7.243,7.243,7.243,7.243,-0.0043,-0.004261754,0.066377707,7.319,7.5001,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
21-05-2013,7.239,7.239,7.239,7.239,-0.0006,-0.000552257,0.061335145,7.296,7.483366667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
22-05-2013,7.246,7.246,7.246,7.246,0.001,0.000966984,0.033741313,7.271857143,7.4681,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
23-05-2013,7.292,7.292,7.292,7.292,0.0063,0.00634833,0.022813947,7.265857143,7.454366667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
