Date,Price,Open,High,Low,Change %,Daily Return (%),Volatility (7D),SMA (7D),SMA (30D),Forward Premia of US$ 1-month (%),Forward Premia of US$ 3-month (%),Forward Premia of US$ 6-month (%),Reverse Repo Rate (%),Marginal Standing Facility (MSF) Rate (%),Bank Rate (%),Base Rate (%),91-Day Treasury Bill (Primary) Yield (%),182-Day Treasury Bill (Primary) Yield (%),364-Day Treasury Bill (Primary) Yield (%),10-Year G-Sec Yield (FBIL) (%),Cash Reserve Ratio (%),Statutory Liquidity Ratio (%),Policy Repo Rate (%),"Foreign Exchange Reserves 
(US $ Million)"
25-03-2013,7.948,7.948,7.948,7.948,-0.0016,-0.163296068,0.035060492,7.916285714,7.860933333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
26-03-2013,7.99,7.99,7.99,7.99,0.0053,0.528434826,0.035743797,7.934428571,7.866666667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
27-03-2013,7.99,7.99,7.99,7.99,0.0000,0,0.033180602,7.949571429,7.871933333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
28-03-2013,7.951,7.951,7.951,7.951,-0.0049,-0.488110138,0.026171595,7.956428571,7.8759,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
29-03-2013,7.96,7.96,7.96,7.96,0.0011,0.113193309,0.021334077,7.961857143,7.880433333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
02-04-2013,7.993,7.993,7.993,7.993,0.0041,0.414572864,0.019806204,7.970428571,7.885966667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
03-04-2013,7.964,7.964,7.964,7.964,-0.0036,-0.362817465,0.019599563,7.970857143,7.8913,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
04-04-2013,7.962,7.962,7.962,7.962,-0.0003,-0.025113009,0.017477877,7.972857143,7.8963,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
05-04-2013,7.931,7.931,7.931,7.931,-0.0039,-0.38934941,0.021578208,7.964428571,7.9007,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
08-04-2013,7.91,7.91,7.91,7.91,-0.0026,-0.26478376,0.02641969,7.953,7.904433333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
09-04-2013,7.882,7.882,7.882,7.882,-0.0035,-0.353982301,0.037737817,7.943142857,7.906633333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
10-04-2013,7.899,7.899,7.899,7.899,0.0022,0.215681299,0.040161578,7.934428571,7.91,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
11-04-2013,7.9,7.9,7.9,7.9,0.0001,0.01265983,0.032137354,7.921142857,7.910933333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
